text,sentiment_score,churn_label
the code to claim the free movie from vudu,0.5106,0
what's with these speeds in deer park ny?,0.0,0
115913 thanks i sent you a message,0.4404,0
thank you! i appreciate it hopefully it's just a server overload of some sort the website works fine,0.7574,0
it's not that big of a deal really i don't have a baskin robins in my area anyway it's just something i noticed,0.0,0
i think i just might use the website,0.0,0
i've spent all day trying to access the app and i keep getting this error message this is the longest i've had this problem,-0.7391,1
are iphone x preorders going to come in early ? mine has said shipped for 2 days now or are we getting them the 3rd?,0.0,0
could one of you beautiful humans slide in my dms,0.5994,0
my this one's on us seems to have dropped the discount off my bill i didn't change my plan can you all help out with this?,0.4019,0
118269 isn't tmobile buying out sprint? lol,0.4215,0
if youre gunna give me tickets to london then yes,0.4019,0
yeah that's not even the bad part 118272 sent me a phone but the sound doesn't work they won't send me another until i send this 1,0.3664,0
118272 now i'll be phoneless for another day amp a half i need my phone for gps and other daily task,0.0,0
done!,0.0,1
it's not an individual account problem people around me are experiencing same issue i'm just letting u guys know lte is slowed to a crawl,-0.4019,1
i need you guys to stop ripping me off when living outside of the us,-0.296,1
i've been through this with you guys before and you guys said you can't do anything else for me,0.0,0
118396 gotta love bots,0.6369,0
what dm???,0.0,0
is the deal for 17mo iphone x with eligible trade in still available?,0.0,0
watching world series and saw this ad try fixing lte in 91744 its only been 17 mths of poor service,-0.4767,1
i used my 1 jump to get the iphone x if for some reason i do not like it what is the return?,-0.2755,1
then go fix my issue erikaholeman,0.0,0
115911 autoposted and reposted responses? not nice! this has been a long time what are you doing to do 115911 ?,-0.4559,1
you have been checking things out since march 2017 115911 !,0.0,0
check my account you will see my ongoing calls and tickets,0.0,0
thanks jay have a great night!,0.807,0
thanks!p great support! is that call to reserve a phone or to check stock levels?,0.8118,0
can i buy an iphone x outright in store on friday?,0.0,0
my tmobile tuesday vudu offer isnt working is there a solution?,0.3182,0
do you have a plan comparison guide have simple choice and what to see if i switch to tmobile one but i do not want cap on data,-0.0857,1
my porn wont load ive been waiting for an hour im already soft whats wrong with your wifi,-0.4767,1
well it also should've indicated that you all were charging people to go along with the courtesy,0.5574,0
done,0.0,1
hi trying to redeem tmobile tuesday's vudu code today and it won't show me the list of movies to be redeemed need help,0.6124,0
takes a special kind of incompetence to transfer someone 7 times and still not solve their problem,0.017,0
showing my age here but what is a dm?,0.0,0
please help,0.6124,0
115913 would you have any suggestions as far as upgrading to a new phone but not an iphone,0.0,0
ios 11 browser and heres what i see as response,0.0,0
mobile browser,0.0,0
app up to date ios up to date,0.0,0
140 gb available,0.0,0
i dmed you !,0.0,0
done,0.0,1
what is the price of the iphone x for jump on demand?,-0.128,1
saves the day again thank you for all the awesome help!,0.8622,0
115913 you already told me there isnt anything you can do for me zach 115913 115911 tmobiletuesdays,0.0,0
115913 115911 retweet iphonexpreorder iphonex,0.0,0
ok,0.296,0
i bought tmobile s8 plus on amazon and i found out it was locked please if it can be unlocked i have the unlock app,0.4588,0
115913 hey i have a question concerning payment? i was hoping you'd be able to help?,0.7059,0
i understand what happened your policies don't allow you to help me when your agent made a mistake,-0.0941,1
if i dm yall i guarantee yall going to say the same thing and no i dont want no other phone and no other gb,-0.5889,1
no need for a dm yall tried us customers with those prices fr yo its time to look for something new we had a nice 4 years,0.1531,0
thanks a lot,0.4404,0
i'm weighting to you,0.0,0
thanks,0.4404,0
117735 verizonsupport applesupport i need a new phone line guys can one of you help me helpmeowgetanewiphone,0.4019,0
due to there already being a promotion today for baskin robbins i was not allowed to use my credit why tmobile?,0.3818,0
thanks for the quick response but upon sending a dm i was asked to do some sketchylooking things involving domains that are 12,0.2382,0
not clearly controlled by tmobile so i guess i'll call on the phone after all don't want to jeopardize the security of my account 22,-0.0207,0
how much extra a month will it be if i trade in my iphone 7 on the jump program?,0.0,0
115913 right so if you want an iphone deal and assume most people dont need an extra line it wont apply only option is to cancel service and open new account,-0.1119,1
115913 adding a line may cost less but how many people need it? thus most current customers cant participate in this deal unless they terminate their account,0.0,0
yeah but you told me i can't get the 300 trade in credit anymore now it's only some bogo with new line i don't want a second phone or yet another line added,0.5672,0
how can you help me from the usa?,0.4019,0
i will try thnks sharron,0.0,0
121678 no reaction from them,-0.296,1
115913 hey there so i've done everything you would normally walk customers through to fix it ie factory wipe cache wipe it's basically an issue with the wakelock call or the deep sleep call within android it happened after the last security update,0.34,1
122119 115913 translation dear lord davi please don't hurt us! we'll do anything!let us know where the drop should be,0.7319,0
115911 115913 i am not dming you 115911 you are my cell provider and have my info look through all the tickets i filed for my lousy coverage,-0.5423,1
115911 115913 bull crap you do not want me to have the best coverage because 115911 does not have one! and yet you expect me to pay everyone month!!!,0.4847,0
it's not the app it's the website the app works fine,0.2023,0
why do i see people with it on youtube doing unboxing,0.0,0
yep,0.296,0
is that normal to be like that for three days,0.3612,0
115911 upshelp 115817 anyone else iphone x shipped but still says order process waiting for ups pick up?,0.0,0
thank you for helping me with this long over due problem,0.25,0
is it possible to cancel a preorder if i find an iphone x in stores before my preorder ships?,-0.25,1
115913 perfect!!!?,0.0,0
115911 115913 will not definitely upgrade!!! 115913 boss you always hear your customers! i trust down will change!,0.4956,0
115911 115913 in store told me that ive 0 down for iphone x and when you preorder on jod it says 279!! help!!!!!!!,0.0,0
nah i'm through with you guys after this last stretch billtoodamnhigh,-0.1027,1
yeah right!,0.3595,0
115913 you can call me its again too much to type to try to make you all understand that your process is terrible transfer process booo,-0.4767,1
no no no i think you are not quite following i turned in 2 iphone 6 when i switched you were supposed to pay you didnt,-0.7184,1
and you wont and besides that you wont give me my phones back which you didnt pay for,0.0762,0
guys im terribly sorry i made a mistake and my problem is with 115714 sprintcare not you i actually want to go back to you guys!!!,-0.8778,1
im fine usually when its no service its when im driving riding shotgun of course,-0.1027,1
do you provide order support online? jw as your phone support seems clueless on helping me,0.7717,0
dm sent,0.0,0
thanks but ill wait until tomorrow to see if something updates,-0.4118,1
any known issues with service in 44060? slow data and network unavailable message on phone,0.0,0
switcher over last month tried to set up voicemail acct said its not a valid accountnumber can you help??,0.4696,1
115913 alrighty,0.0,0
115913 ive sent countless messages and apparently no one can give me answers,-0.296,1
i was just charged for my iphone x and was told this would happen when it shipped but it still says processing is this correct?,-0.1027,1
i have and it won't work,0.0,0
i claimed my free prints from walgreens in t mobile tuesday app but it's saying expired,0.2846,0
i shouldnt get rude responses calling in to your solutions center after they miss a follow up call missing 300 iphone credit,0.4552,0
can you guys help ? i'm in the bahamas and want to use my phone but aren't sure if i'm covered as the website won't load,-0.1136,1
not me that needs help but 124933,0.2144,0
any reason why i'm getting almost no signal at school? o,-0.228,1
why 1 mile from nyc does ur service get compromisedtravelin on blvd east sth of 60stit just spins and barely gets workin,0.0,0
customer service answered it but i received the freedom rebate already but not buy 1 get 1 free s8 its only been 2 weeks but 6 to 8 weeks,0.5018,0
115913 thanks,0.4404,0
thanks brettm tforce does it again 115913 125652,0.4404,0
i sent you a dm i could use some of your magentamagic,0.0,0
115913 i just did and no response is there a phone number i can reach you at,-0.2023,1
115913 i havent sent the actual problem yet someone is showing me how to use twitter i use ig mostly thank you for responding,-0.0516,1
what's up with the super shitty service in vegas today??? this is ridiculous,-0.4098,1
i just spoke with someone over the phone who was very disrespectful and put me on an indefinite hold,0.0,0
what kind of discount will i get because of the inconvenience? it looks like i will have to go a third day in a row to buy your phone,0.0,0
no one responded,-0.296,1
i just upgraded my phone at verizon how long do i need to wait to switch to tmobile and redeem 650 bill credit for my family plan,0.3818,1
126056 you guys have a strange mindset behind support ive rarely actually gotten help but i always get false promises,0.4975,0
126111 115913 i picked up a revvl do i qualify for a free one? i love it can i stop in on fri for my bogo?,0.7691,0
115913 back the 5 weeks its back ordered,0.0,0
115913 similar issues happened during the apple watch series 3 pre order,0.0,0
115913,0.0,0
115913 at this point i was told i can cancel my order and start at new one the device i ordered is due to arrive 1103 canceling it will push it,-0.25,1
thanks for putting my device order on hold while your reps have no clue what's going on!,0.2481,0
they say they can reprocess order and i will still get it on 1103 is this correct???,0.0,0
i appreciate it,0.4019,0
i just tried to add kickback to a new voice line but when i do it removes this one's on uswhy?,0.0,0
waste of time,-0.4215,1
couldnt pay it,0.0762,0
message sent,0.0,0
whats going on! i told tmobile after it happened but still got reconnect fees payment arrangement duesept28th but i was at mymom deathbed,0.0,0
no that's it thanks,0.1779,0
i was able to successfully upload the receipt i had to cut the size down a little thanks!,0.6122,0
dm'ed!,0.0,0
just sent you guys a dm with an odd situation,-0.3182,1
just sent another dm!,0.0,0
fulshear richmond and katy i need it for work it kills me,-0.5423,1
sent dm no response,-0.296,1
no now i'm being told i have to be charged an escalation fee because of your screw up and that it will take 24 hours to get my service,-0.5267,1
back to what it was this absolutely outrageous,-0.5095,1
i've been on the phone for 4 hours trying to get this turned around,0.0,0
im good i fixed it myself poor customer service though,-0.0516,1
i did 19 minutes ago and have yet to receive a response!,0.0,0
if one orders a phone and the price drops within the return period does 115911 provide a price adjustment credit?,0.3818,0
115913 you've been singing this song for nearing 2 weeks i want results now this is absolutely stupid!,-0.5697,1
hi needing assistant with my tradein for the iphone x,0.0,0
by you talking do you mean out me through 4 different people and answering 30 mins apart each response no thank you,0.0772,0
hello i received this text today in which i replied this picture please advise,0.3182,0
check dm,0.0,0
i need help with activating a feature on my recently purchased tmobile samsung galaxy note8,0.4019,0
115913 show me!,0.0,0
115913 my dms are open to you guys we have a long history 115913 is my homeboy ask him,0.0,0
i was wondering if my account is eligible for the 55 service?,0.0,0
dm sent,0.0,0
just bought 2 galaxy s8 plus on one the firmware update will not take it says successful then prompts to update again?help?,0.6322,0
115913 awesome i hope there can be a solution from what support told me on the phone there are no solutions,0.8885,0
thanks i have been replying to messages as they come in let's get some lte coverage at my new house!,0.4926,0
thanks alex then i promise to give you guys a break,0.6369,0
if someone could help me with one more thing on dm i promise to leave you alone for a while,0.4215,1
i cant dm you if you dont follow me email is locked out somewhere between account unknown and account already regd,0.0,0
129429 thats weird lol! what's weirder is if you're not the laura beasley i used to know then you look just like her smallworldwideweb hahaha,0.7901,0
is the x in stores?,0.0,0
115913 thanks,0.4404,0
115913 messaged,0.0,0
check dm please,0.3182,0
the issue isn't you the issue is the company no one ever takes responsibility for what someone else said,-0.296,1
if you was treated ths way what would you do i think i'm worth a lot more attributes than facebook,0.2263,0
but i'm on unlimited data how can they restrict me from going unlimited when i pay for unlimited,-0.6124,1
it's going to be a great day tomorrow morning because i'm going to switch from metro pcs to tmobile there saying thatihave used35gbofdata,0.6249,1
i will and it's been a pleasure chatting with you hopefully 1 day we can chat in person,0.7506,0
it's gone and from now on twitter is my home,0.0,0
just signed up for a phone lease yesterday and today the price of the phone dropped any way the phone lease can be changed?,0.0,0
not compatible?,0.0,0
software is up to date still can't download apple music,0.0,0
still not compatible,0.0,0
i have note 8 with tmobile why isn't apple music app available in google play?,0.34,0
yo why is my bill so high,0.0,0
115911 you guys still didn't fix the tower's,0.0,0
i work for you guys and i dont understand how my bill kept going up,0.0,0
lol i did ask a question i guess you guys cant let that info out im assuming,0.4215,0
i bought a note 8 on monday and just saw that there's a flash sale going on is there any way to credit the difference?,0.3818,0
i just finished paying but i just wanted to tell you that having a way to pay at the store without having to wait in line would be so much more convenient there use 2b kiosks to pay at why no longer?,-0.6124,1
long line many customers and since now if you wanna pay in store you can only pay cash no box or kiosk to drop a check for payment in turns a quick transaction into an ordeal just to pay not convenient at all,-0.6705,1
4g lte but i can't use mobile data only wifi it's been on and off like this for months more off than on what's going on?,0.5023,0
115913 i have tweeted to four different people taylor best mike rice barb pelotte and you on oct 26th others on 26th 27th with no reply,0.4588,0
115913 sent to taylor best,0.6369,0
115913 did you get my dm have not seen a reply,0.0,0
115913 sent a dm to mike thank you,0.3612,0
115913 part 1,0.0,0
im not interested in doing this seriously enough games this is real life u can read the previous dm amp decipher the same bs ive been hearing for almost 18hrs now pls stop pretending yr gonna help read dm its not that hard to see what's transpired,-0.2265,1
have u not taken the time to 1 actually hear me amp read what im saying amp2 all the 18hrs worth of dms?? you are like the 7th or 8th person now 2 keep trying 2 direct this conversation 2 dm? well why don't u read them?,0.755,0
why again i spent the entire day yesterday chatting ? what's left 2say? y'all won't come up wa better solution? exhausted notfamily corporateamericastrikesagain,0.5007,0
no thx im not wanting the run around again,0.0772,0
i started receiving sms messages from one sender in the austin tx area as emails but other senders messages are still sms i saw that others have the same problem on your forum please help,0.5719,0
figure out how you guys charged my father over 500 in a month that is absurd ! not even 115725 would do that and they are expensive,-0.2714,1
done,0.0,1
why is the tmobile website showing my expected bill for 2 lines on tmobile 1 as 145? and why was i signed up for 1?,0.0,0
not until i can get a good deal on a phone i see the other carriers att and 115725 always have promotions with national stores not tmob,0.4404,0
hi simran i have dmed you all the details please let me know if you need anything else from me now,0.3182,0
you have very mean cust service reps they have put me on hold for 25 mins and hung up on me several times today 115911 bogo offer is a scam here is the evidence order placed 1123 promotion period 1117 1127 order canceled 1128,-0.5719,1
was the best and fastest service i got all day!!,0.6988,0
so this is just a joke well i am glad u were entertained rude not listening lies,0.8091,0
readdm been there done that 4 hours 17 years still norespect,0.0,1
is this a computerized response amp not a actual person? i mean seriously,-0.1779,1
i just want to say 1st off that i appreciate tmobile for the things yall do to give back to us 2nd i moved to a small town recently and get bad signal around here i use wifi calling and my calls still frequently drop is there any way to boost my signal?,0.0258,0
whatoffer merrygoround trying2pretend noloyalty,0.0,0
clearly false doesn't value cust likes to make fun of ppl i am sick i have extreme illness but y'all just wanna keep passing me around like this is some joke glad your amused cuz i am weakened by yr antics amp misguided msg,0.863,0
115913 ok i will send you a dm but please keep in mind that i have already provided tmobile 4 failed attempts to help me this should have been fixed on my 1st or 2nd call so my expectation of getting help now from the experts is quite slim at this point,0.7351,1
115913 huh alright i'll look over everything when i'm able then maybe in january,0.25,0
115913 that was fast is there a human behind that account or is it automated to pop in whenever someone brings up this stuff,0.0,0
why the hell do you guys keep sending me broken replacement phones,-0.8271,1
115913 yea you've been ripping off my bill for over a decade i'd like my thousands back,0.3612,0
issue with my bill please help,0.6124,0
right now being able to sleep is my concern can i not get woken up with surveys at 5am? thanks,0.4404,0
so thats what i'm gonna do,0.0,0
whats going on is i spent 300 plus dollars yesterday bc i was so upset i just wanted to do whateber i had to do to go elsewhere,-0.5214,1
i'm done dming if you can't find my info you can't help me customerservice intheopen,-0.3089,1
115913 don't know how to dm call me someone from t mobile called yesterday now i looked and i have a new unexplained charge again,0.0,0
life happens? ay whitney fuck you and yo pussy ass coworker on joy rd and telegraph,-0.4939,1
lol no man i just said no dms,-0.1531,1
i dont need yall niggas man i wanna talk to the idiot who fed me these lies last weekend,-0.6204,1
from the rec to the 2 step???,0.0,0
115913 looks like just retail sales reps i'll find one that is full time and apply thank you,0.6124,0
134500 134502,0.0,0
what your insta kia?,-0.6369,1
ah kia cant pie me off like that,-0.4019,1
no tmobile i do not support isis please go here then click express and tell fcc we support net neutrality,-0.7703,1
nope,0.0,0
that's all i've been doing for the past 2 months and my bill is still wrong! every time i talk to you you want to be transparent i wished all your hidden fees and charges were transparent,-0.636,1
115913 dm sent,0.0,0
115913 will be sending soon thank you,0.3612,0
can you just tweet it publicly? i have a pixel 2 on tmobile and just want to find out if evs is enabled on it,0.0772,0
why dm for something that would help others looking for the same information?,0.4019,0
is there a list of devices that support enhanced voice services? specifically will you support it on the pixel 2? looks like android 81 will bring hd voice and lolte to pixel2 on atampt so it would be nice to have a differentiator since the pixel 2 is capable of evs,0.9129,0
115913 ok,0.296,0
you too,0.0,0
no,-0.296,1
never mind girlies i received help now lol,0.6705,0
115913 i am getting only canned customer service responses to diffuse the situation i need it kicked up to the next level so we can have a real resolution put in place,0.0,0
115913 waiting !,0.0,0
115913 hello??,0.0,0
115913 ok waiting!,0.3595,0
115913 nobody is responding!! alissa???,0.0,0
i would like to jump to an s8,0.3612,0
115913 ok,0.296,0
115913 will i be communicating with you?,0.0,0
done,0.0,1
are you still offering the wifi hotspot wireless routers and how many per account can you have?,0.0,0
i have provided details,0.0,0
i gave you the info sherlock why dont you and melj put your heads together and figure it out and dm me att is looking mighty nice right about now,0.4215,0
hey youre the cell phone provider why dont you figure out the discrepancy with your info and dm me? because if i dm you im gunna give you the same info i already tweeted and thats a waste of time something ive wasted a lot of today getting called a liar by your employees,-0.8519,1
115913 i did with no reply,-0.296,1
115913 alyssa your person was not helpful at all no focus on bad customer service just asking me questions that have been dealt with why can you people not look on your computer for these answers instead of going over the same stuff over and over,-0.7925,1
115913 we already did,0.0,0
115913 and you had simeone else help me i have not had you send me another dm,0.4019,0
oh sweet summer child there's nothing you can do unless you happen to have a date for the system update that includes them,0.4588,0
115913 sent a dm,0.0,0
my mom's iphone broke and she is looking to replace her phone with a samsung on5 smg550t1 is this particular phone supported by your network?,-0.128,1
115913 nope send me a check i'm about to go out of the box now because your smarmy feeble attempts are starting to seriously piss me off eight forty stop talking,-0.7783,1
why is this happening? at the store with wifi but otherwise unable to callsurf in ne,0.0,0
thanks fam,0.4404,0
do i have to use the new sim card that came with my iphone x or can i use my old one in the iphone x?,0.0,0
hi whats the number i need to call to activate my sim for my new iphone x,0.0772,0
my bill is wrong fix it please,-0.2023,1
115913 i did it always takes you all so long to reply,0.0,0
i believe i'm being double charged for my old equipment payment i paid the full balance on 1027 and was charged for a payment on 111,-0.3818,1
115913 don't worry about it we'll spend time with your family,0.3412,0
hey i use the revvl and everytime i go outside the brightness goes really bright but when i'm back inside it goes dark what i use any suggestions on helping me on this?,0.6904,0
why yall messing up my bill??? i just payed 505 last month now 357 this month yall joking right!? my bill should be at least 100 cheaper!,0.5337,0
115913 i was on hold for 10 minutes before disconnecting and resolving the issue on my own,0.3818,0
115913 our account no is 959641072 and my contact ni 7069081524 they want me to make the payment today of 14984 otherwise will report to credit it seems and collection charged will apply 118 was debited as autopay on august but refunded by an agent only as she thought i need,-0.0129,0
115913 not pay since the carrier was changed and closed on aug 5th and post that we are facing such issues with collection etc earlier it was 118 then 131 then 141 looks like it kept increasing but no one resolved the query and dispute,-0.5271,1
115913 hi alissa sent u details in dm,0.0,0
115913 i was able to resolve my issue without help thank you however please look at your call back system your website says that expected wait time is two minutes but that does not include the amount of time a caller is on hold once the call is received,0.0685,0
i have dm'ed the page,0.0,0
138073 something to share also if you get a call like this also report it to so they can get the calls to stop as well also the irs very rarely makes outcalls without a letter starting the process first,0.5574,0
115913 i get a message that says i cannot message this account 115913,0.0,0
115913 as i thought this is bot right? no response at all the dm if there is a real live person that is at all interested rectifying this mess you can contact me,-0.25,1
i've messaged you and would apparently response tonight,0.0,0
hi is there an issue for sms service in the east coast?,0.0,0
115913 you said the same thing yesterday i frankly don't believe it,0.0,0
how long after you do a jump upgrade do you have to send back the old phone? and does that time start from when it is shipped or after it arrives?,0.0,0
android oreo is out for the unlocked htc u11 life any idea when the tmobile version will get the update? can you confirm that it's being worked on?,0.0,0
just bought tourist sim from san mateo store network reception is poor in office at seaport blvd redwood cirty kindly help,0.4215,0
i don't need help just feedback billing info and password info should be in unrelated forms,-0.3089,1
115913 what is a dm?,0.0,0
115913 dan pls refer to your sup to refer to 'engineering' this is automated 'system' not account issue difference between estamppst3 hours thx every month 3 texts 838aest 855aest 1130aest thx for payment then 4th text 1213pest payment is past due celebrity activists,0.6486,0
115913 john this is 'system' not account issue refer directly to 'engineering' discrepency is 3 hours difference between est amp pst time 115911 is nationwide need to use military time notimetogothroughmotionswith socialmediaampcustomerservice 139354 celebrity activists,0.0,0
115913 dan refer to 'engineering' this is automated 'system' not account issue difference between est amp pst 3 hours thx! every month 3 texts 838aest 855aest 1130aest thanks for payment then 4th text 1213pest payment is past due 139354 celebrity activists,0.69,0
115913 dan this is a tmobile automated 'system' not individual 'account' issue please refer to 'engineering' thx! every month 3 texts 838aest 855aest 1130aest thanks for payment then 4th text 1213pest payment is past due 139354 celebrity activists,0.7901,0
115913 dan pls refer this issue to engineering thx! every month 3 texts 838aest 855aest 1130aest thanks for payment then 4th text 1213pest payment is past due as is selfevident tmobile systems synchronization is off 139354 celebrity activists,0.7177,0
115913 every month 3 texts 838aest 855aest 1130aest thanks for payment then 4th text 1213pest payment is past due as is selfevident your system synchronization is off pls conclusively fix amp resolve thx! 139354 celebrity activists,0.8221,0
115913 longtime customer and switched accounts but can't get 0 down for bringing new customers that sucks,-0.5023,1
115913 you know my question you already said you can't help me,-0.3089,1
115913 ok i'm there,0.296,0
115913 so not only you can't help me but you tried to get me to pay more,-0.3025,1
115913 yeah they always want you in dm do no one else can see them not helping,-0.1501,1
115913 i do need help maybe 115913 can help,0.6597,0
115913 not addressed to help me,-0.3089,1
115913 still nothing can be done,0.0,1
hi i'm a new customer and am curious if i can change my billing due date it's currently at the end of the month i get paid at the beginning thanks in advance! always a fan,0.7777,0
thanks will have to do it another time in australia it was quite a complicated process having to give passport numbers etc in the uk you just buy a card and pop it in phone!,0.4926,1
we're going to miami in feb with tourist plan do you have to register online or can it all be done instore ?,0.0,1
139703 respectfully these issues would be outside the scope of t force i have been a customer of t mobile since 2003 i also happen to be a manager in customer service in retail i have john legere' s email but i would prefer not to bother him when i could provide it to callie field,0.5274,0
115913 nah i already tried that route y'all are just too expensive there are too many other options out there these days,-0.1027,1
115913 i could however be persuaded if my watch would show up at the store but y'all aren't giving them to the stores,-0.3724,1
he did send me a confirmation number 07424954 to confirm the process for my refund for the phone but my tmobile account still shows thag there is still a jump upgrade in process why does it show that when he said it was going to be canceled due to ups losing my phone ?,-0.5023,1
what kind of info? the representative said that the jump contract is void due to ups losing the new phone i ordered and he was going to issue me a refund but on my tmobile account it still shows the jump upgrade in process,-0.2023,1
115913 i don't care about any bogo deals 350 off the note 8 from best buy seems like a helluva deal except notably absent from this deal is tmo,0.6214,0
the fact that every major carrier has huge discount with best buy for the note 8 except tmo is disconcerting your bogo deals don't apply to those of us that have grandfathered plans seems like tmo has left us day 1 loyalists in the dust sad cc 115913,0.7906,0
oh thanks i never received it all i have is a survey invitation,0.4404,0
thanks i did a couple days ago and no one responded,0.1779,0
115913 we did this already see my tweet thousands of other customers are in front of me im told the system cant connect to the warehouse logistics needs an upgrade,0.0,0
115913 i had really liked 115911 and there are many reasons to do so but now and then they dont treat you well and dont listen to feedback until they see a competitor offer a solution their jump program has issues and is costly to use,-0.1807,1
it will be veeeery long wait! nonetworktmobile,0.0,0
nooo i am not going through that misery called nonetworktmobile again!,-0.6114,1
i am done with no network tmobile! after nonstop struggle w nonetworktmobile am out and done with it for good!,-0.2924,1
i sent you a dm! could you please reply?,0.3802,0
why yall app only work when its time to pay my bill?,-0.1027,1
just dm'd you,0.0,0
i just switched to tmobile from sprint iphone to android and we're not able to send or receive group text messages help please! 115911,0.6476,1
iphone 7,0.0,0
done,0.0,1
whitney thanks for replay what information you need from me?,0.4404,0
i keep having problems with my phone i keep getting popups saying missing sim card needs to restart,-0.5994,1
hes on hold with you right now and so am i,0.0,0
got my new iphone how can i activate it on the t mobile network? i cannot get a hold of a t mobile cust ser rep a 2 hr wait,0.0,0
i'm in mexico city and get lte on occasion but mostly 3g and sometimes edge help!,0.5916,0
uhhh will you guys be open today? cause i cracked my phone lastnight and need to fix it,0.0,0
115913 wasted an hour and a half of my time just to tell me another lame excuse for added charges!!,-0.8118,1
115913 seriously does tmobile hire anyone without mental problems for real,0.1426,0
115913 please stop harrassing me you are only interested in charging me extra fees to restore my overpriced phone service buzz off your killin my vibe,0.6124,0
115913 look at this guy another slave being payed with peanuts,0.0,0
115913 i will never again support your ridiculous greedy company please stop harrassing me with your bs and doublespeak and sales jargon enough of tmobile forever f off!!,-0.7609,1
115913 this company says they will help then they hustle you for more cash instead screwtmobile,0.4019,0
115913 your an ass hat,-0.5423,1
my issue of being charged for international plan when i requested it to be removed months ago has still not been resolved they said it would get removed it didnt and i got charged for the months it was on my account,-0.4798,1
what are the qualifying plans for the bogo note 8 promo?,0.0,0
it was too late 115911 you should hire people that arent just there to make a a buck employees should be trained in customers service i got an iphone early this year at a mall kiosk for my wife and till this day the same rep greets me when i walk by as if he remembers me,0.1531,0
115911 unacceptable leaving the store and still on hold on the phone,-0.4588,1
brendan you know exactly what im talking about i literally can't right now duuuuuuuuuuuuude isis oh my goddd,0.0,0
141350 i cant right now,0.0,0
can someone respond to my dm pls tysm!,0.1511,0
you say its twitters fault they say its your fault someone knows the truth it aint me,-0.4767,1
not a solution i like certain important accounts i want to see first do better this is not a solution,-0.2139,1
can you help me better understand some of the terms of the current iphone bogo offer?,0.6808,0
im a current customer just had a question can i get a phone billed monthly without adding a line,0.0,0
